name	x	y
Bourgeois, Laurent	1912.7035770560292	-163.50942545688005
defi	1856.8362155415562	-252.77473535969256
Cappello, Franck	894.36397151811	81.55366892759551
grand-large	614.64881569991	10.66292859278639
Bredeche, Nicolas	1306.3834737251568	583.988104054315
tao	1038.155326463259	644.7786985498788
Chen, Yuting	-283.97472927938054	1719.1124184747932
digiplante	-191.49119437758586	1674.9183866508693
Khefifi, Rania	242.22432429746945	1069.651695547235
leo	371.18310946623194	1100.4708380409102
Essafi, Salma	2229.183290901591	888.5083405394997
galen	2243.5700613734616	741.733849748643
Mebarki, Abdelkrim	573.1469789452724	-541.1108395462726
geometrica	670.673268118589	-405.5769904159121
Bernardo, Bruno	-541.7226427038271	908.7701085079686
typical	-491.93969413489964	791.9469312134395
Kalyanasundaram, Krishnamani	-367.1809217438089	734.4802875507525
proval	-352.93680923717	502.0833109018911
Mandal, Partha Sarathi	476.14436088113695	-21.123219227356717
Elmqvist, Niklas	918.7387229089951	993.8452233528322
aviz	803.606383696256	883.0288655892258
Sheehy, Donald	764.0051791987966	-514.3325190494254
Zampetakis, Stamatis	406.0170175977875	783.2436954256448
oak	509.74351524603765	736.4050932273708
Enge, Andreas	-461.7757676775218	1215.333907963132
tanc	-322.2970018310393	1032.7126116201239
Rougny, Adrien	-524.7881256634306	-604.5736006745087
amib	-67.31874724790492	-528.696556731738
Aranda-Andújar, Andrés	412.15417671348615	765.5202164740515
Montanier, Jean-Marc	1259.0882275826204	596.9944631669757
Pouchet, Louis-Noel	-514.5706691075682	38.793708970240104
alchemy	-269.9516911744887	103.01365126584632
Haar, Stefan	133.9494949319554	2057.1644003467145
mexico	132.32276725064133	2177.8504810733484
Wener, Benjamin	-587.6584432973611	978.3251375413853
Keriven, Renaud	1046.2807053381125	-380.7186317418597
Sharify, M.	723.8153200383091	1002.5731137861794
Zhou, Xiao	1162.7867652494178	767.5753384846644
Chaudhuri, Kaustuv	-778.1903444447007	949.4384447454586
parsifal	-650.4259723874201	792.7207210227281
Bardenet, R.	1291.2261702788985	950.6754921304957
Caillou, Philippe	1241.7172018123122	779.1388980041613
Deltorn, Jean-Marc	321.37745766353237	1512.3824924862624
inria saclay	374.8709948396002	1263.5798799488755
Marceau, Gaétan	1141.0904146873697	501.6792008057899
Sebag, Michèle	1312.4039425978085	672.141274328674
Auger, David	1054.0068883634162	541.5450362510145
Auffray, Yves	1253.6547767446518	-122.51448975419981
select	1147.175784071571	-85.56781902177077
Paragios, Nikolaos	2199.5879812967023	996.788651619613
Bardou, Romain	-534.7352673284663	643.9297249034686
secsi	-487.5235916432917	566.0632511153339
Camacho-Rodríguez, Jesús	457.5064206451038	766.0835417517575
Galland, Alban	250.91192634203227	871.3858974188669
dahu	195.13017989676956	767.5064015137688
gemo	459.71167405585334	914.278080423857
Jouannaud, Jean-Pierre	-560.2265071402815	862.1578693403436
logical	-267.6974344031545	391.8961831928724
Schmitt, Mathieu	532.4655528244673	-449.74555356819303
Alliez, Pierre	674.6062436586018	-645.5625731524133
Trevezas, Samis	-289.16467352709225	1779.5990975902496
Fioravanti, André	1322.4250354929495	1525.8706761003173
disco	1350.7588679874405	1418.4283184954893
Dupuis, Xavier	-1144.4194989540936	470.2868322124126
commands	-1152.479293071415	379.55298198337334
Hemmer, Michael	477.0502302032044	-560.284977598341
Bollig, Benedikt	94.73455961028098	2308.5928406734292
Poline, Jean-Baptiste	1756.6633190747489	233.03107214165107
parietal	1542.3519304821912	68.08256223659136
Dubreil, Jérémy	-949.3304291937704	1060.104687619627
comete	-822.573776012139	766.6095049373632
Paskevich, Andrei	-297.83471416965597	602.7686800912255
Neji, Radhouene	2186.183441340766	871.6374254899858
Lévy-Vehel, Jacques	867.8179707228393	604.1010137824512
regularity	779.8601017197934	650.0567053199832
Cen, Zhihao	-1213.5712595013954	448.7679439974999
Abiteboul, Serge	265.94608053756923	740.551666389914
Chatain, \relax Thomas	209.07306937658586	2136.920368699304
Hupca, Ioan Ovidiu	691.574402618667	-782.0513026687129
Letort, Veronique	-238.58837365659699	1754.3301581494184
Fu, Shuai	1243.0639733281323	5.2650605934358445
Maugis, Cathy	1139.6307381855522	-118.10104324898568
Gazeau, Ivan	-891.0122671404199	859.6570043239103
Aslaoui-Errafi, Zahira	-523.4021648093805	-617.9100589728065
Cohen-Boulakia, Sarah	-416.6951393595573	-471.0032351786395
Riachy, Samer	1110.5852160015556	1746.7963207141072
alien	1073.9034125988273	1539.6202973131071
Ghosh, Arijit	751.9685017053538	-465.4589213199263
Memari, Pooran	778.9430707335767	-453.6263744093006
Baazizi, Mohamed-Amine	352.0118112806136	843.9597877196695
Suchanek, Fabian M.	300.0651852111305	880.1206250843319
Ollivier, Yann	950.1131668353395	713.4743761999351
Delourme, Bérangère	1926.0745310445666	-174.9694911425096
Smith, Benjamin	-536.7278968166281	1226.6448038795409
Sadik, Brahim	905.1795331943736	1672.7554071311467
Ye, Lina	244.68449819023817	1218.113300211441
Thilakarathna, Kanchana	85.68490024214076	207.49817640158523
hipercom	-47.04575809595582	299.50028374077004
Akrour, Riad	1195.5363611985642	603.7160540294561
Perin, Charles	899.455692021429	957.1136454690047
Floquet, Thierry	1104.657099335047	1653.4124655121402
Kumar, Pawan	772.3725653265378	-514.668606143941
Iguernelala, Mohamed	-301.56911026139755	538.4804071998761
Senellart, Pierre	332.2783781324171	747.7302332072231
Segoufin, Luc	162.15634885700808	497.2336672705996
Von Tokarski, Guillaume	-105.37914263273248	466.4606670141226
GOUY-PAILLER, Cédric	1277.1904804570415	682.2250713748139
Gauthier, Jean-Paul	1823.480194289598	1773.2566709652435
geco	1658.7770552715615	1797.706772034086
Steyaert, Jean-Marc	-136.07593615985797	-576.7976340837931
Mérigot, Quentin	775.6189962260071	-480.4173818619675
Le Chevalier, Vincent	-355.923994728813	1723.897908614591
Damon, Cécilia	1640.3131137239886	144.5171778546093
Spelmezan, Daniel	634.2899847073407	1197.7174659071109
in-situ	716.2142451427566	1033.2092370156781
Lazaar, Nadjib	1252.9922807126718	664.8829270053606
Lebarbier, Emilie	134.52089923719376	1239.2036094988746
Genuer, Robin	1203.6100437201944	-318.92518917911576
Lengrand, Stéphane	-505.0103777942671	704.319012344287
Degrieck, Jan	-668.7540995025612	574.9015768017778
Tournois, Jane	640.2490221472704	-570.3545257312528
Tantar, Alexandru-Adrian	655.8774992254569	168.876305801175
Sais, Fatiha	279.98369497836995	1033.3670298753045
Chazal, Frédéric	701.5897671188322	-500.7115153294762
De Feo, Luca	255.08899180533817	1469.9260570773517
Jacquemard, Florent	2.240284637226109	-1.6708866347179239
Plateau, Florence	-481.63953505574995	210.49337202011498
Ayad, Ali	-340.2019500010653	599.2866644608895
Richard, Jean-Pierre	1157.9204625799832	1724.8370966108928
Mercier, J.-F.	1821.4405455216975	-722.156844466872
poems	1887.912754536084	-376.5604145596698
Ciarlet, Patrick	1908.1378396497253	-294.1366548904894
Stronati, Marco	-926.6421520941692	812.6671762209064
Bidoit, Nicole	391.623719421025	843.7971965698217
Moscovich, Tomer	857.3178685309216	965.3438141929504
Jendrej, Jacek	1739.2419064544426	1857.8968894571115
Levrard, Clément	1105.3223811239927	-199.40680894749542
Isenberg, Petra	949.1839602890452	1037.439405666873
Bernauer, Julie	-802.908351905811	-752.0069103510149
Silva, Francisco	-1220.6654728592976	429.8571608697088
Peres, Sabine	69.47012905669543	-1131.2374953643227
Rineau, Laurent	874.9986444982247	-430.16012315929476
Barriere, Olivier	823.8111175416738	655.7602537042792
apis	747.6617432772887	772.3309307194281
Baudry, Jean-Patrick	1159.3599066904558	-55.97817292709819
Akimoto, Youhei	1205.17134158928	728.497709881598
Besbes, Ahmed	2205.263203360751	881.9956952012931
Manolescu, I.	125.64084466591221	1095.2016354591408
Mackay, W.E.	754.5001271672277	1076.4854253297694
Chassignet, Phillippe	-162.36510167865836	-605.2374198584359
Bibai, Jacques	1103.047221405154	511.0562130253769
Schwoon, Stefan	66.16251883398796	2099.8771066238583
Paugam-Moisy, Hélène	870.7087834398352	495.9573560702225
Bobot, François	-278.4509838998499	557.77596074423
Tixeuil, Sebastien	617.3254381154383	-137.0575217136978
Pfeiffer, Laurent	-1227.7071698572483	494.25019871960683
Bienvenu, Meghyn	212.01820105317822	917.5693023280039
Bouzarkouna, Zyed	1146.4516089713097	697.7593048553439
Glisse, Marc	614.4213771580181	-561.4899253115932
Xiang, Hua	768.2754662789642	-532.3351371492741
Amar, Patrick	115.60345755733331	-711.2389855397074
Braun, Christelle	-924.3886281876254	854.823873448137
Brockhoff, Dimo	1243.8877979942467	722.384245790786
Knight, Sophia	-963.1003848764564	800.5046958493522
Sznajder, Nathalie	204.48103732387457	2237.0820420615173
Goasdoué, François	311.1160750631816	715.6597465754335
Lopez, Patrice	317.14038076189684	1570.3276162700292
Rigaux, Philippe	216.39327390124384	804.2872399008467
Hutridurga, H.	1851.5505414088366	-434.1573610495366
Loi, Cédric	-312.2589461813802	1725.887631705435
Ibn Taarit, Kaouther	1152.0650156001316	1654.9243203637852
Quintin, Guillaume	-378.07216963000394	1245.62576339388
grace	-414.3154198017085	1227.2455993864908
Daudin, Jean-Jacques	1190.0240178039162	-215.85425842654473
Barbot, Jean-Pierre	1063.6272863220624	1779.7157795331123
Regnier, Mireille	-152.95166465984624	-633.8579062425181
Thiriot, Samuel	1178.4901555469871	788.4062962060912
Reynaud, Chantal	316.43252752944187	1080.8793307751725
Bertrand, Pierre R.	223.75265766161067	1415.2171811727058
Delattre, Maud	1422.4589129319272	-724.5376182781206
popix	1322.1688585941683	-587.3290733567995
Denise, Alain	-127.99751679422533	-338.3507793816098
Kégl, B.	1295.1568303467366	1066.395516222248
Bahi, Mouad	-333.16468968064396	142.72303399700968
Sahakyan, Marina	362.1387162175778	853.256348048347
Grigori, Laura	739.2745291922914	-716.5612452686593
Houtmann, Clement	-765.2430394053983	1054.3952450836125
Thirion, Bertrand	1711.7043380615683	198.46286371244858
Olivi, Emmanuel	1313.4267706489393	-148.50265923108628
Contejean, Evelyne	-314.94008847486356	574.1544158621424
Wu, Peng	-943.126977443845	893.936100675932
Ponty, Yann	-156.2244560401199	-471.2190843330278
Dyer, Ramsay	732.0378267272936	-469.769923320807
Skraba, Primoz	696.9095178200148	-475.9672097040819
Efimov, Denis	892.3577484276365	1882.678330504275
Malécot, Paul	816.4135210548387	54.6278211759153
LAVIELLE, MARC	1359.6114039791378	-800.5603552225
Olarte, Carlos	-1019.1519711061071	782.6027028547359
Chapelle, Dominique	1119.9553783802821	-564.272938723191
m3disim	940.6927993305565	-600.4926936923756
macs	910.8956916253342	-509.4079481628593
Bach, Benjamin	860.6833612518278	888.9169878162198
Milo, Tova	324.43474742344927	823.2764786739406
Bordenabe, Nicolás	-914.8974914635894	821.5362012360974
Brault, Vincent	1339.6441049406096	88.54228422035443
Join, Cédric	1143.8889250882073	1840.8230387565247
Rezmerita, Ala	787.7586021226771	104.23890113699035
Bonnans, Frédéric	-1263.291413587946	425.6661424070338
Vianu, Victor	232.23931388116154	693.0181304826298
Akian, Marianne	769.0996121340421	1322.3618321947204
maxplus	648.633783521014	850.184733523401
Michel, Vincent	1700.7041456464742	162.0795530607495
Trifunović, Konrad	-492.6907197478015	-25.30734708776824
Teytaud, Olivier	1112.181617876617	493.65809321057515
Zargayouna, Haifa	355.8173949035427	1069.9491966641158
Kim, Yusik	1408.7254214669622	960.2040126407098
Troina, Angelo	-907.6704225354525	792.3369960106
Wu, Qiong-Li	-341.73234732503937	1770.4772343292827
Beauquier, Joffroy	220.71613693811452	78.258797105661
Cucala, Lionel	1269.386820306344	-158.7538945961571
Delarboulas, Pierre	1185.1710507697212	619.5127972779271
Cournède, Paul-Henry	-323.8603221295579	1791.6879675494365
Salman, Nader	848.8945340065538	-436.8966127025527
Barrière, Olivier	814.7360029972929	639.2980288218996
Régnier, Mireille	-118.12662642845892	-655.7965568760268
Primet, Romain	735.6449090917879	1059.8711682784642
Lechleiter, Armin	2002.925640694258	-237.50087019952596
Clausen, Thomas Heide	-136.7438443346342	337.6023823488082
Hermant, Audrey	-1204.6593945929253	428.1592676695784
Bayol, Benoit	-357.42880993618235	1764.9288396005204
Boespflug, Mathieu	-601.3998408401372	850.537248537298
Wittenburg, Georg	-235.27560992047532	258.8169629902842
Batteux, Michel	274.75735317543587	1222.853511908973
Goodell, Howard	891.3433391941646	947.9988573415851
Fekete, Jean-Daniel	947.575830969009	926.3966643903459
Zemirline, Nadjet	382.7760400267209	1051.3848852288104
Iniesta, Victor	832.987604803014	108.40145126682864
Pruski, Cédric	377.1000420462427	1092.5278026362114
Henry, Nathalie	897.1641995852156	982.5063515274386
Delaune, Stéphanie	-705.8737931018343	566.0031659403903
Armant, Vincent	336.89150783484337	1173.9087928266174
Oudot, Steve Y.	671.5935442830817	-476.643444027671
Vuillemot, Romain	890.8034163127106	889.8251881146477
Lebovits, Joachim	815.2304638855799	592.8215631331377
Paulevé, Loïc	-76.54553448762451	-611.7965950711184
Zipser, Florian	356.36617331718975	1608.2861305573704
Amsterdamer, Yael	322.3765780397305	876.1126429718117
Touati, Sid-Ahmed-Ali	-484.24102159178574	93.27444329796603
Liu, Da-Yan	1119.083889677096	1726.1537824464926
Tian, Yang	1134.6863184331985	1651.3419591530044
Pedregosa, Fabian	1684.7996996623078	130.99223134112552
Nguyen, Le Ha Vy	1329.987895941407	1507.6512965588606
Papadimitriou, Anthonis	217.73938876424626	228.20583920650995
asap	53.94046204657934	204.24884668200735
Ionica, Sorina	-390.81480372693477	1153.6795190327243
Guyard, Thomas	-351.3887753982626	1752.544682087204
Legostaev, Gennady	774.2255141412481	960.0920099043844
Mackay, Wendy	840.9891954976554	1006.3401348300875
Jebalia, Mohamed	1215.9922775163172	735.6343883435205
Jan, Mathieu	941.2842952673547	-3.9131117041704
Amil, Merve	1169.0635663961486	548.189237124303
Pérès, Sabine	85.76077613093244	-836.762430410176
Allaire, G.	1854.4773416032715	-519.5310914492219
Poncet, Paul	562.1627897634237	1149.5273118352427
Wormser, Camille	631.6817379864774	-509.52065036231534
Rinaudo, Philippe	-127.66449683221865	-207.4557645682639
Haddar, Houssem	1937.1601818998406	-64.28294668970466
Hérault, Thomas	909.223360044141	246.9230865776812
Da Costa, Lydie	1694.1480267282084	1176.4789058679723
Saule, Cédric	-157.92412261770028	-444.41737509346444
Ng, Bernard	1715.692935432805	178.30889270328797
Tilea, Alin	491.1946627961938	791.5405971111946
Pallas, Benoit	-301.33511792935195	1716.0624745065763
Samsonov, Maxim	1280.2198447117894	753.6878239823503
Puech, Claude	781.1068110764214	1080.0798199825717
Hémery, Pierre-Luc	763.2559522952096	876.1822286361362
Trifunovic, Konrad	-498.9296984075496	38.252063631216025
Loshchilov, Ilya	1197.4757289566799	620.0914926230964
Steel, Graham	-654.9808030399842	629.795618766025
Letondal, Catherine	772.1430484762798	1100.164051729736
