StarID,Hip,HD,HR,Gliese,BayerFlamsteed,ProperName,RA,Dec,Distance,Mag,AbsMag,Spectrum,ColorIndex,AvgDistance,MinDistance
80278,110434,212186,, ,,,22.36811221,15.65149052,144.3001443,6.68,0.883666173,A0 ,-0.019,0.000072,0.000001
33835,45722,80079,, ,,,9.32093188,46.9438126,205.338809,6.91,0.347644806,A0 ,-0.019,0.005993,0.000004
61128,84954,157359,, ,,,17.36378928,23.68631088,263.1578947,7.41,0.308917983,A0 ,-0.019,0.006757,0.00001
62631,87002,161677,, ,,,17.77806735,5.7742943,267.3796791,7.14,0.004358011,B6V ,-0.019,0.014193,0
17618,24882,34827,, ,,,5.33421987,-5.20834095,300.3003003,7.18,-0.207778832,B9 ,-0.019,0.020745,0.000002
57986,80606,147465,, ,,,16.45821385,-69.32597467,268.0965147,6.68,-0.461455841,B9IV ,-0.019,0.029906,0
2158,3058,3519,, ,,,0.64701417,59.82616136,325.732899,6.72,-0.844308123,A0 ,-0.019,0.046287,0
65424,90766,171026,, ,,,18.51859457,32.24538578,478.4688995,7.45,-0.949268569,A0... ,-0.019,0.05124,0.000004
2,3,224699,, ,,,0.00033386,38.85928608,355.8718861,6.61,-1.1464684,B9 ,-0.019,0.061007,0
3433,4902,6084,, ,,,1.04827264,51.79810649,1123.595506,6.84,-3.413049967,B5 ,-0.019,0.19759,0.000006
12317,17588,23441,1152,, 22 Tau,,3.76746878,24.5280059,108.577633,6.43,1.251298151,A0Vn ,-0.02,0.001433,0.000004
62654,87042,161390,6613,, ,,17.78535978,-38.11209711,116.9590643,6.41,1.069830574,A0V ,-0.02,0.000249,0.000001
29170,39722,66824,3167,, 28 Lyn,,8.11943153,43.26044834,144.9275362,6.35,0.544245454,A1V ,-0.02,0.002777,0
12396,17707,23383,1147,, ,,3.79225544,55.92204893,132.2751323,6.09,0.482608978,B9Vnn ,-0.02,0.003661,0.000001
53406,73865,133529,5614,, ,,15.09659075,-25.78943722,173.0103806,6.65,0.459639192,B7Vn... ,-0.02,0.00402,0.000001
68447,94720,180555,7307,, ,,19.27410628,14.54461509,114.0250855,5.65,0.364997967,B9.5V ,-0.02,0.005664,0.000002
69551,96178,183806,7416,, ,,19.55600951,-45.27168903,133.8688086,5.59,-0.043396991,A0p ,-0.02,0.015575,0.000007
10163,14502,19065,922,, ,,3.12194912,64.05760178,170.9401709,5.89,-0.27422067,B9V ,-0.02,0.023007,0.000002
63919,88754,166228,6792,, ,,18.11841509,49.71039279,221.2389381,6.32,-0.404307826,A2V ,-0.02,0.027718,0
40610,54849,97585,4356,, 69 Leo,,11.2293278,-0.06950857,146.1988304,5.4,-0.424719491,A0V ,-0.02,0.028491,0.000011
23891,32921,49908,2529,, 36 Gem,,6.85918048,21.76123162,162.3376623,5.28,-0.772096439,A2V ,-0.02,0.042983,0
61968,86092,159217,6537,, 1Sig Ara,,17.59433647,-46.50559076,118.2033097,4.56,-0.803148185,A0V ,-0.02,0.044393,0.000001
39475,53272,94650,4262,, ,,10.89503594,-70.72033781,238.0952381,5.99,-0.893753548,B6V ,-0.02,0.048597,0.000006
82604,113802,217811,8768,, ,,23.04587433,44.05876504,361.0108303,6.37,-1.417601155,B2V ,-0.02,0.075347,0.000012
58585,81477,149764,, ,,,16.64193072,-39.15227824,126.1034048,6.93,1.426365937,Ap Si ,-0.02,0.003335,0.000002
6383,9166,11962,, ,,,1.96698231,28.51998759,156.4945227,7.11,1.137504291,A0 ,-0.02,0.000586,0.000002
35975,48518,85734,, ,,,9.8951857,-3.86201357,193.0501931,7.4,0.971648799,B9 ,-0.02,0.00001,0
16611,23493,32468,, ,,,5.05054632,-8.66314367,151.0574018,6.86,0.964289947,A0 ,-0.02,0.000005,0
32329,43770,75894,, ,,,8.91595934,52.79470478,194.9317739,7.29,0.840586826,B9 ,-0.02,0.000201,0
22129,30678,65322,, ,,,6.44645871,-88.74373403,233.6448598,7.36,0.517218845,B8IV ,-0.02,0.00315,0.000002
33993,45916,80796,, ,,,9.36244471,-2.79288809,230.9468822,7.21,0.392439482,B9 ,-0.02,0.005161,0.000001
78119,107459,207803,, ,,,21.7648135,78.23291778,242.7184466,7.17,0.24448608,A0 ,-0.02,0.008121,0.000002
70191,97001,186465,, ,,,19.71562676,40.72175702,207.0393375,6.71,0.129735654,A0 ,-0.02,0.010835,0
26345,36089,58722,, ,,,7.43537642,-18.12156515,282.4858757,7.29,0.03501631,B5III ,-0.02,0.013336,0.000002
36940,49833,88528,, ,,,10.17341284,-64.38427558,259.7402597,6.89,-0.182696352,B8V ,-0.02,0.019917,0.000002
42162,57097,101763,, ,,,11.70467768,-57.56510753,289.017341,7.08,-0.224619506,B9/B9.5V ,-0.02,0.021308,0.000002
5346,7651,9996,465,, ,,1.64217711,45.39970504,139.4700139,6.38,0.657595778,B9pe... ,-0.021,0.001453,0.000004
80502,110746,212643,8542,, ,,22.43630442,-23.68244261,151.7450683,6.29,0.384427073,A0V ,-0.021,0.005307,0.000005
21037,29347,42729,2206,, ,,6.18712667,-26.4821137,207.0393375,6.08,-0.500264346,B9.5IV/V ,-0.021,0.031431,0.000007
52241,72154,129956,5501,,108 Vir,,14.75839681,0.71729003,188.3239171,5.68,-0.694527395,B9.5V ,-0.021,0.039537,0.000002
67073,92931,175360,7128,, ,,18.93352022,-23.17371793,273.2240437,5.91,-1.272594573,B6III ,-0.021,0.067557,0.000004
22715,31407,47306,2435,, ,,6.58294093,-52.97563454,540.5405405,4.35,-4.314141358,B9III ,-0.021,0.257016,0.000111
14050,20037,26669,, ,,,4.29742821,67.08870187,136.425648,6.89,1.215519873,B8 ,-0.021,0.001133,0
26648,36489,60130,, ,,,7.50794363,-50.60901444,116.9590643,6.55,1.209830574,A0V ,-0.021,0.001088,0.000003
30726,41729,71554,, ,,,8.50950972,54.11918199,130.7189542,6.76,1.178307176,B9 ,-0.021,0.000852,0
9851,14049,18473,, ,,,3.01493982,59.66599593,228.3105023,7.35,0.557370553,B9p SB ,-0.021,0.002604,0.000003
23702,32668,49833,, ,,,6.81367768,-34.93682492,196.4636542,6.91,0.443588912,B9V ,-0.021,0.004281,0.000001
66375,92020,173761,, ,,,18.75602994,36.56725424,212.7659574,7.03,0.39048929,B9 ,-0.021,0.005197,0.000003
